"Year"	"Weight"
2011	191.849087737115
2011	213.811546385478
2011	183.126403901104
2011	205.358986476086
2011	207.76923043284
2011	229.349157189067
2011	215.469746390649
2011	197.181642131145
2011	222.925707237818
2011	194.418515884318
2011	213.161202471841
2011	180.128889114624
2011	235.693888617076
2011	163.329507645913
2011	194.082915534928
2011	195.166550875062
2011	178.756131491653
2011	201.461637446238
2011	179.558241103101
2011	148.742304609009
2011	195.906108351464
2011	217.713052603909
2011	193.30048634546
2011	163.401956003225
2011	218.610895571883
2011	164.74024547487
2011	211.676690150381
2011	197.016997307644
2011	211.680974044138
2011	212.453389110898
2011	222.37343001351
2011	206.978799910344
2011	225.196643757856
2011	148.172337735655
2011	229.746334594571
2015	217.747435952969
2015	220.498425198498
2015	208.82895417462
2015	178.059910113784
2015	134.526637480051
2015	154.063885431598
2015	187.562306141093
2015	148.05134581884
2015	183.458476189624
2015	178.725396905974
2015	226.303689373256
2015	207.791881738446
2015	167.215616955854
2015	166.402972404569
2015	136.776817909126
2015	191.768738473782
2015	180.134678054294
2015	213.701144638819
2015	198.102417832484
2015	218.813729116565
2015	213.136745793056
2015	179.14337268767
2015	170.974665058556
2015	161.995864442292
2015	187.050373334188
2015	160.236858410905
2015	168.877386231783
2015	214.124829234468
2015	192.436358457372
2015	159.640088103967
2015	186.701645931021
2015	165.19479222511
2015	233.337158931233
2015	209.318716674172
2015	198.669024731494
2021	173.890644540751
2021	196.199594308722
2021	215.008378964521
2021	150.209879699427
2021	203.211726740358
2021	204.061470246469
2021	210.955344559975
2021	134.016815775813
2021	180.512380495096
2021	164.365408325518
2021	202.073206835157
2021	206.223372946101
2021	174.34791793926
2021	184.747734354611
2021	154.903048209861
2021	163.243617968466
2021	185.138220954588
2021	206.447525071529
2021	157.077433835574
2021	210.726442904119
2021	165.720332576926
2021	196.134521765643
2021	220.245228012381
2021	221.343061605893
2021	181.303419203739
2021	185.504947304013
2021	156.720673908583
2021	175.966061147959
2021	194.811437728811
2021	202.565108278464
2021	201.670882280392
2021	174.80504184795
2021	195.722562216575
2021	190.558756287938
2021	190.12941587694
