"Strain"	"Biomass"
"A"	0.836879633819557
"A"	0.371421138244984
"A"	0.843521583977477
"A"	0.863825828395615
"A"	0.775217555983031
"A"	0.904776052475237
"A"	0.799480969793043
"A"	0.578839660061401
"A"	0.784748053127168
"A"	0.898961859220118
"A"	1.10105965205364
"A"	0.935808990774665
"A"	0.780692264010435
"A"	0.724904938075702
"A"	0.673805094252954
"A"	0.858630986687153
"A"	0.788329739738526
"A"	0.876700534565513
"A"	0.758054359569904
"A"	0.868256124583164
"A"	0.664390687061613
"A"	0.853150128081043
"A"	0.931054563213571
"A"	0.788135494732645
"A"	0.54464726155928
"A"	0.867022289894471
"A"	0.559148093333343
"A"	0.93595886401649
"A"	0.888098468395038
"A"	0.640863068618061
"A"	0.749905895204642
"A"	0.992878130612201
"A"	0.771419471788906
"A"	0.840497965843022
"A"	0.784168365511631
"A"	0.811734647199882
"A"	0.805641659765593
"A"	0.807121009494163
"A"	0.725908405449622
"A"	0.821681327432466
"A"	0.731544018232053
"A"	0.906158406824834
"A"	0.69520947393689
"A"	0.654090838559608
"A"	0.822190601398922
"A"	0.614596877035729
"A"	0.69216380509081
"A"	0.899352390921717
"A"	0.813066299856675
"A"	1.06689653677225
"B"	1.02570614848308
"B"	1.06070605283116
"B"	0.733041149977185
"B"	1.16357223327174
"B"	0.925923473964153
"B"	0.889163079613086
"B"	1.19167220058438
"B"	0.838983745070335
"B"	1.08332374358987
"B"	1.14001025591879
"B"	1.13081398519367
"B"	0.951353573523163
"B"	0.947073841839092
"B"	0.984292147162028
"B"	0.605805326642475
"B"	1.07588953881869
"B"	0.963814459485855
"B"	0.724807039089164
"B"	0.826532536216973
"B"	0.870301602408127
"B"	0.92994965376264
"B"	1.01943164777592
"B"	0.881816357014358
"B"	0.688533903304544
"B"	0.922990653304165
"B"	0.913072371216883
"B"	0.7687135008283
"B"	0.878131847634975
"B"	1.08591794153537
"B"	0.72192304162612
"B"	1.14399042210136
"B"	1.02310717205761
"B"	0.98195132161391
"B"	0.777119904548039
"B"	0.973878061628195
"B"	0.881398631931994
"B"	1.09366846924752
"B"	1.1409631822801
"B"	0.685189163381341
"B"	1.15273930738114
"B"	0.767715666616755
"B"	0.727438715112048
"B"	0.977922295893921
"B"	0.885028610442792
"B"	0.824786044642585
"B"	0.895342745203051
"B"	1.01130050514516
"B"	0.871099995846856
"B"	1.04385306886107
"B"	0.850560268284642
